2022-02-28 17:07:25.649 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:30.841 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:30.843 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:36.024 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:36.026 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:41.241 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:41.243 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:46.408 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:46.410 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:51.607 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:51.609 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:56.768 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:56.770 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:01.958 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
